Date;Open;High;Low;Close;Adj Close;Volume
18/05/2019;7.266.080.078;8.281.660.156;7.257.259.766;8.193.139.648;8.193.139.648;723011166
19/05/2019;8.193.139.648;8.193.139.648;7.591.850.098;7.998.290.039;7.998.290.039;637617163
20/05/2019;7.998.290.039;8.102.319.824;7.807.770.020;7.947.930.176;7.947.930.176;357803946
21/05/2019;7.947.930.176;8.033.759.766;7.533.660.156;7.626.890.137;7.626.890.137;424501866
22/05/2019;7.626.890.137;7.971.259.766;7.478.740.234;7.876.500.000;7.876.500.000;386766321
